algo,detection_probability,global_state_mode,last_episode,loss_final,metric_rows,posterior_rebuilds_final,posterior_std_mean_final,reward_mode,run_dir,sampled_minus_mean_completed,sampled_minus_mean_coverage,seed,status,validation_collision_final,validation_completed_best,validation_completed_final,validation_overlap_final,validation_reward_best,validation_reward_final,warnings
qmix_ddqn,1.0,memory_union,400.0,0.11299816519021988,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/qmix_ddqn/seed43,nan,nan,43,complete,0.09397777777777777,0.44,0.29,0.2583517538856629,-6.415960418869808,-6.753927079915012,
qmix_ddqn,1.0,memory_union,400.0,0.03213523328304291,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/qmix_ddqn/seed44,nan,nan,44,complete,0.07668888888888889,0.41,0.33,0.27776047628971573,-7.052936668876067,-7.207247082032019,
shared_bdqn,1.0,memory_union,400.0,0.0,8,118.0,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/shared_bdqn/seed42,-0.07,0.015508333941300745,42,complete,0.12666666666666668,0.45,0.2,0.3272247896893433,-6.6585716556246135,-9.081704586818573,
shared_bdqn,1.0,memory_union,400.0,0.0,8,118.0,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/shared_bdqn/seed43,-0.06666666666666668,-0.02714166849851607,43,complete,0.14353333333333335,0.29,0.12,0.2937916955723015,-7.4218683347297265,-8.625538750196254,
shared_bdqn,1.0,memory_union,400.0,0.0,8,118.0,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/shared_bdqn/seed44,-0.06666666666666668,-0.025650000472863588,44,complete,0.13295555555555555,0.37,0.27,0.29885874352758646,-7.523517908799902,-8.397679578216874,
shared_ddqn,1.0,memory_union,400.0,0.045384716242551804,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/shared_ddqn/seed42,nan,nan,42,complete,0.15842222222222221,0.36,0.17,0.2402174012367063,-6.608351666177315,-8.36293624405787,
shared_ddqn,1.0,memory_union,400.0,0.09249569475650787,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/shared_ddqn/seed43,nan,nan,43,complete,0.1121111111111111,0.36,0.27,0.28601515458756027,-6.741628329791633,-8.199817501638085,
shared_ddqn,1.0,memory_union,400.0,0.0992647111415863,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/shared_ddqn/seed44,nan,nan,44,complete,0.09582222222222223,0.32,0.32,0.28638812487969123,-7.83963999999166,-7.83963999999166,
bdqn,1.0,,400.0,0.0,8,29.0,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/single/bdqn/seed42,-0.029999999999999992,-0.028783331631372366,42,complete,nan,0.11,0.03,nan,-3.088804999940282,-4.058486666353295,
bdqn,1.0,,400.0,0.0,8,29.0,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/single/bdqn/seed43,-0.10333333333333333,-0.08011666664232808,43,complete,nan,0.3,0.11,nan,-2.394967500563715,-2.8880795845310523,
bdqn,1.0,,400.0,0.0,8,29.0,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/single/bdqn/seed44,-0.11000000000000001,-0.03804999962449074,44,complete,nan,0.16,0.16,nan,-2.721126664076436,-2.721126664076436,
ddqn,1.0,,400.0,0.005635139532387257,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/single/ddqn/seed42,nan,nan,42,complete,nan,0.05,0.01,nan,-3.2433712521823104,-5.439333744246698,
ddqn,1.0,,400.0,0.007345395628362894,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/single/ddqn/seed43,nan,nan,43,complete,nan,0.09,0.02,nan,-3.7710320801371098,-3.7962699961197552,
ddqn,1.0,,400.0,0.06183276325464249,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/single/ddqn/seed44,nan,nan,44,complete,nan,0.14,0.11,nan,-3.934502079477472,-3.934502079477472,
